Orthogroup	Hsap	Acer
OG0000872	SHC4_HUMAN, SHC1_HUMAN, SHC3_HUMAN, SHC2_HUMAN	KAK2559131.1
OG0000876	SCD5_HUMAN, SCD_HUMAN	KAK2560125.1, KAK2560095.1, KAK2560091.1, KAK2560090.1
OG0000889	GHC1_HUMAN, GHC2_HUMAN	KAK2565052.1
OG0000896	A2ML1_HUMAN, OVOS1_HUMAN, A2MG_HUMAN, PZP_HUMAN	KAK2568086.1, KAK2568089.1
OG0000905	SETD5_HUMAN, KMT2E_HUMAN	KAK2571082.1
OG0000918	WDFY1_HUMAN, WDFY2_HUMAN	KAK2573804.1, KAK2573807.1
OG0000952	SMBT1_HUMAN, SMBT2_HUMAN	KAK2571151.1
OG0000755	S23A2_HUMAN, S23A1_HUMAN	KAK2560598.1, KAK2560594.1, KAK2560599.1, KAK2561423.1, KAK2561424.1
OG0000766	DMTF1_HUMAN	KAK2565961.1, KAK2571180.1
OG0000776	OTOAN_HUMAN	KAK2569049.1
OG0000786	A4_HUMAN, APLP2_HUMAN, APLP1_HUMAN	KAK2573493.1
OG0000811	P2RX5_HUMAN, P2RX4_HUMAN	KAK2574294.1
OG0000871	NPM2_HUMAN, NPM_HUMAN, NPM3_HUMAN	KAK2558536.1
OG0000899	EFC4A_HUMAN, EFC4B_HUMAN	KAK2568308.1, KAK2568309.1
OG0000911	CYTM_HUMAN, CYTC_HUMAN, CYTD_HUMAN, CYTT_HUMAN, CYTN_HUMAN, CYTS_HUMAN, CATF_HUMAN	KAK2572249.1
OG0000937	MYH14_HUMAN, MYH10_HUMAN, MYH11_HUMAN, MYH9_HUMAN	KAK2571689.1
OG0000951	NET4_HUMAN, LAMB3_HUMAN, LAMB4_HUMAN, LAMB1_HUMAN, LAMB2_HUMAN	KAK2553890.1
OG0000965	PSB10_HUMAN, PSB7_HUMAN	KAK2565882.1, KAK2546762.1, KAK2550908.1, KAK2547490.1, KAK2546769.1, KAK2547492.1
OG0001022	MINT_HUMAN	KAK2556405.1
OG0000810	DMBX1_HUMAN	KAK2563190.1, KAK2563191.1, KAK2563182.1, KAK2563188.1, KAK2563184.1, KAK2563189.1
OG0000846	HLX_HUMAN	KAK2570331.1, KAK2554845.1, KAK2558815.1, KAK2552582.1, KAK2553220.1, KAK2561619.1
OG0000875	TRFM_HUMAN, TRFE_HUMAN, TRFL_HUMAN	KAK2559619.1, KAK2574286.1, KAK2574197.1, KAK2574279.1
OG0000888	UBQL4_HUMAN, UBQL2_HUMAN, UBQL1_HUMAN	KAK2564687.1
OG0000903	AGAP3_HUMAN, AGAP1_HUMAN, AGA11_HUMAN, AGAP5_HUMAN, AGAP9_HUMAN, AGAP7_HUMAN, AGAP4_HUMAN, AGAP6_HUMAN	KAK2570257.1
OG0000917	ARGL1_HUMAN	KAK2573515.1
OG0000939	WNT5A_HUMAN, WNT5B_HUMAN	KAK2547327.1
OG0000955	ASB1_HUMAN, ASB12_HUMAN	KAK2571683.1, KAK2554283.1, KAK2574334.1, KAK2551910.1, KAK2566555.1, KAK2569536.1
OG0000976	SBNO1_HUMAN, SBNO2_HUMAN	KAK2547872.1, KAK2547884.1, KAK2547487.1, KAK2547875.1, KAK2548751.1, KAK2548568.1
OG0000990	GLB1L_HUMAN, BGAL_HUMAN	KAK2561338.1, KAK2549685.1, KAK2549686.1, KAK2572094.1
OG0001006	ADT4_HUMAN, ADT1_HUMAN, ADT3_HUMAN, ADT2_HUMAN	KAK2563109.1, KAK2552649.1
OG0001021	GRHL3_HUMAN, GRHL1_HUMAN, GRHL2_HUMAN	KAK2556011.1
OG0000777	GGH_HUMAN	KAK2569079.1, KAK2569080.1, KAK2571885.1
OG0000789	AT2A3_HUMAN, AT2A1_HUMAN, AT2A2_HUMAN	KAK2574331.1
OG0000803	RSRC2_HUMAN	KAK2562253.1
OG0000852	ANR37_HUMAN	KAK2554490.1, KAK2554488.1, KAK2569321.1
OG0000866	DTNA_HUMAN, DTNB_HUMAN	KAK2557780.1
OG0000884	KCC2D_HUMAN, KCC2A_HUMAN, KCC2G_HUMAN, KCC2B_HUMAN	KAK2563856.1, KAK2565342.1
OG0000901	MKRN2_HUMAN, MKRN3_HUMAN, MKRN4_HUMAN, MKRN5_HUMAN, MKRN1_HUMAN	KAK2569755.1, KAK2569939.1
OG0000914	TTL12_HUMAN	KAK2573094.1
OG0000944	CAC1S_HUMAN, CAC1C_HUMAN, CAC1D_HUMAN, CAC1F_HUMAN	KAK2548851.1
OG0000961	KGP1_HUMAN	KAK2563745.1
OG0000978	PAQR5_HUMAN, PAQR6_HUMAN	KAK2567395.1, KAK2567698.1, KAK2550523.1, KAK2547961.1
OG0001000	GRM2_HUMAN, GRM3_HUMAN	KAK2558312.1, KAK2558393.1, KAK2551525.1
OG0001015	ARL8B_HUMAN, ARL8A_HUMAN	KAK2553930.1, KAK2553987.1, KAK2553986.1, KAK2553929.1, KAK2553985.1, KAK2553988.1
OG0001030	LEF1_HUMAN, TCF7_HUMAN, TF7L1_HUMAN, TF7L2_HUMAN	KAK2557848.1
OG0000819	SVIL_HUMAN	KAK2550638.1, KAK2547112.1, KAK2547118.1
OG0000836	S36A4_HUMAN, S36A3_HUMAN, S36A2_HUMAN, S36A1_HUMAN	KAK2549682.1
OG0000853	ELL2_HUMAN, ELL_HUMAN	KAK2554502.1
OG0000869	RGS19_HUMAN, RGS17_HUMAN, RGS20_HUMAN	KAK2562315.1, KAK2558306.1
OG0000887	CARD9_HUMAN, CAR11_HUMAN, CAR14_HUMAN, CAR10_HUMAN	KAK2564163.1, KAK2564162.1
OG0000902	LASP1_HUMAN	KAK2570238.1
OG0000916	CD59_HUMAN	KAK2573503.1, KAK2573504.1
OG0000943	CAC1E_HUMAN, CAC1B_HUMAN, CAC1A_HUMAN	KAK2555559.1, KAK2568518.1
OG0000959	NCEH1_HUMAN, ADCL2_HUMAN, AAAD_HUMAN, ADCL4_HUMAN, ADCL3_HUMAN	KAK2573512.1
OG0000977	PLOD3_HUMAN, PLOD1_HUMAN, PLOD2_HUMAN	KAK2547937.1
OG0001035	LRC49_HUMAN	KAK2559183.1
OG0001050	NR2F6_HUMAN, COT2_HUMAN, COT1_HUMAN	KAK2562790.1
OG0001055	BNIPL_HUMAN, BNIP2_HUMAN, ATCAY_HUMAN, PRUN2_HUMAN	KAK2563958.1
OG0000815	EZRI_HUMAN, MOES_HUMAN, RADI_HUMAN	KAK2550282.1
OG0000821	FKRP_HUMAN	KAK2552538.1, KAK2547426.1, KAK2548353.1, KAK2558153.1, KAK2562209.1
OG0000838	PXDC2_HUMAN, PLDX1_HUMAN	KAK2550300.1, KAK2564776.1, KAK2564777.1, KAK2550297.1, KAK2550302.1
OG0000843	BMX_HUMAN, BTK_HUMAN, TEC_HUMAN, ITK_HUMAN, TXK_HUMAN	KAK2551692.1
OG0000859	CASP7_HUMAN, CASP3_HUMAN	KAK2568366.1, KAK2571522.1, KAK2571523.1, KAK2556350.1
OG0000874	TSG6_HUMAN	KAK2559543.1, KAK2567945.1, KAK2568096.1, KAK2573012.1
OG0000945	BARX1_HUMAN, BARX2_HUMAN	KAK2563699.1, KAK2574056.1, KAK2574062.1, KAK2566679.1
OG0000960	PEA15_HUMAN	KAK2556812.1, KAK2556822.1, KAK2556823.1, KAK2556813.1, KAK2556815.1, KAK2556818.1, KAK2556808.1, KAK2556811.1, KAK2556937.1
OG0000988	PIGA_HUMAN	KAK2550711.1, KAK2558479.1, KAK2567792.1, KAK2562422.1, KAK2559475.1, KAK2572722.1, KAK2549538.1
OG0001018	CYTB_HUMAN, CYTA_HUMAN	KAK2554380.1, KAK2570997.1
OG0001032	TIAM1_HUMAN, TIAM2_HUMAN	KAK2558087.1
OG0001046	CERS6_HUMAN, CERS5_HUMAN, CERS2_HUMAN, CERS3_HUMAN	KAK2561304.1
OG0001074	RHG35_HUMAN, RHG05_HUMAN	KAK2568305.1
OG0001088	TRPM3_HUMAN, TRPM1_HUMAN, TRPM7_HUMAN, TRPM6_HUMAN	KAK2570942.1
OG0001101	BGP11_HUMAN, BGLR_HUMAN, GUSP1_HUMAN	KAK2574664.1, KAK2574383.1
OG0000883	E2F8_HUMAN, E2F7_HUMAN	KAK2563769.1, KAK2563768.1
OG0000941	AT8B1_HUMAN, AT8B3_HUMAN, AT8B2_HUMAN, AT8B4_HUMAN	KAK2567000.1
OG0000957	AKCL2_HUMAN, ALDR_HUMAN, AK1BA_HUMAN, AK1BF_HUMAN	KAK2570988.1, KAK2570996.1
OG0000991	METH_HUMAN	KAK2567728.1, KAK2552770.1, KAK2549798.1, KAK2556809.1, KAK2564320.1, KAK2566434.1, KAK2559261.1
OG0001007	WDR88_HUMAN	KAK2553158.1, KAK2554761.1
OG0001013	RSH6A_HUMAN, RSH4A_HUMAN	KAK2553757.1, KAK2554388.1, KAK2554446.1
OG0001027	ADA12_HUMAN, ADA19_HUMAN, ADA33_HUMAN	KAK2557255.1, KAK2573123.1
OG0001041	JPH4_HUMAN, JPH3_HUMAN, JPH1_HUMAN, JPH2_HUMAN	KAK2560707.1
OG0001056	MEOX2_HUMAN, MEOX1_HUMAN	KAK2564900.1, KAK2564902.1, KAK2564899.1
OG0001072	B4GN1_HUMAN, B4GN2_HUMAN	KAK2572316.1, KAK2568173.1
OG0001087	CSTFT_HUMAN, CSTF2_HUMAN	KAK2570753.1
OG0001102	BCL7A_HUMAN, BCL7C_HUMAN, BCL7B_HUMAN	KAK2574520.1
OG0001132	LRP6_HUMAN, LRP5_HUMAN, LRP5L_HUMAN	KAK2569223.1, KAK2569296.1
OG0000879	M3K11_HUMAN, M3K9_HUMAN, M3K10_HUMAN, M3K21_HUMAN	KAK2561977.1
OG0000893	LMO4_HUMAN	KAK2567244.1
OG0000908	IQEC3_HUMAN, IQEC2_HUMAN, IQEC1_HUMAN	KAK2571519.1
OG0000950	NCKX3_HUMAN, NCKX4_HUMAN	KAK2572059.1, KAK2572062.1, KAK2560593.1, KAK2560601.1, KAK2555301.1
OG0000999	ANK1_HUMAN, ANK3_HUMAN, ANK2_HUMAN	KAK2551496.1
OG0001014	NID2_HUMAN, NID1_HUMAN	KAK2553828.1
OG0001029	CRCC2_HUMAN, CROCC_HUMAN, CROL2_HUMAN	KAK2557649.1
OG0001044	KCNH5_HUMAN, KCNH1_HUMAN	KAK2560958.1
OG0001069	AFF2_HUMAN, AFF3_HUMAN, AFF1_HUMAN, AFF4_HUMAN	KAK2567862.1
OG0001083	S11IP_HUMAN	KAK2570121.1
OG0001096	OVOL3_HUMAN, OVOL1_HUMAN, OVOL2_HUMAN	KAK2573855.1, KAK2573562.1
OG0001139	SC6A1_HUMAN	KAK2570433.1, KAK2556788.1, KAK2554953.1
OG0001155	GPC4_HUMAN, GPC6_HUMAN, GPC1_HUMAN, GPC2_HUMAN	KAK2566759.1
OG0000886	EMAL1_HUMAN, EMAL2_HUMAN	KAK2563868.1
OG0000900	RIPR1_HUMAN, RIPR2_HUMAN, RIPR3_HUMAN	KAK2568324.1
OG0000913	DNJB8_HUMAN, DNJB3_HUMAN, DNJB7_HUMAN, DNJB6_HUMAN, DNJB2_HUMAN	KAK2572735.1
OG0000936	MARCO_HUMAN, SCAR5_HUMAN, MSRE_HUMAN	KAK2560263.1, KAK2547571.1, KAK2560264.1
OG0000954	ASCL1_HUMAN, ASCL2_HUMAN	KAK2572995.1, KAK2572673.1, KAK2573046.1
OG0001004	RCOR2_HUMAN, RCOR1_HUMAN, RCOR3_HUMAN	KAK2552346.1
OG0001048	TSN13_HUMAN, TSN31_HUMAN	KAK2561439.1, KAK2561360.1, KAK2561356.1
OG0001062	CNOT4_HUMAN	KAK2566157.1
OG0001068	KPCD3_HUMAN, KPCD2_HUMAN, KPCD1_HUMAN	KAK2567623.1
OG0001081	SSBP3_HUMAN, SSBP4_HUMAN, SSBP2_HUMAN	KAK2569771.1
OG0001092	BAK_HUMAN	KAK2572803.1
OG0001147	NAR5_HUMAN, NAR1_HUMAN, NAR4_HUMAN	KAK2567321.1
OG0000895	TFE3_HUMAN, MITF_HUMAN, TFEB_HUMAN, TFEC_HUMAN	KAK2568067.1
OG0000909	PAQRB_HUMAN, PAQRA_HUMAN	KAK2571955.1
OG0000921	RBP56_HUMAN, EWS_HUMAN, FUS_HUMAN	KAK2574576.1
OG0000948	RHOG_HUMAN, RHOU_HUMAN, RHOQ_HUMAN, CDC42_HUMAN	KAK2556316.1
OG0000998	PKHG5_HUMAN	KAK2551181.1, KAK2551185.1
OG0001026	UBP31_HUMAN, UBP43_HUMAN	KAK2557197.1
OG0001042	RBM4_HUMAN, RBM4B_HUMAN	KAK2560879.1
OG0001057	TUB_HUMAN, TULP3_HUMAN, TULP1_HUMAN, TULP2_HUMAN	KAK2565222.1
OG0001075	TIF1B_HUMAN, TIF1A_HUMAN, TRI33_HUMAN	KAK2569120.1
OG0001089	ELAP1_HUMAN, ELAP2_HUMAN	KAK2571385.1
OG0001134	NEP_HUMAN, MMEL1_HUMAN	KAK2557786.1
OG0001150	ZNT7_HUMAN	KAK2569914.1, KAK2546630.1, KAK2569917.1
OG0000910	LOXL2_HUMAN, LOXL3_HUMAN, LOXL4_HUMAN	KAK2572182.1, KAK2572558.1
OG0000949	STAR6_HUMAN, STAR5_HUMAN, STAR4_HUMAN	KAK2568546.1, KAK2568953.1, KAK2568549.1, KAK2568550.1
OG0001001	DYN3_HUMAN, DYN2_HUMAN, DYN1_HUMAN, DMP34_HUMAN, DMP46_HUMAN	KAK2551884.1
OG0001016	LFG1_HUMAN, LFG2_HUMAN, LFG3_HUMAN, LFG4_HUMAN	KAK2553992.1
OG0001031	FOXO1_HUMAN, FOXO6_HUMAN, FOXO4_HUMAN, FOXO3_HUMAN, FXO3B_HUMAN	KAK2557953.1
OG0001063	STALP_HUMAN, STABP_HUMAN	KAK2566254.1
OG0001079	MUC3A_HUMAN, MUC3B_HUMAN, MUC12_HUMAN, MUC17_HUMAN	KAK2572344.1, KAK2569412.1
OG0001085	SRRM1_HUMAN	KAK2570695.1
OG0001099	PHKG2_HUMAN, PHKG1_HUMAN	KAK2573897.1
OG0001137	CPNE8_HUMAN, CPNE5_HUMAN, CPNE9_HUMAN	KAK2571445.1
OG0001153	PRIC3_HUMAN	KAK2568018.1
OG0001168	ASMT_HUMAN	KAK2551101.1, KAK2551102.1
OG0000885	MYPT1_HUMAN, MYPT2_HUMAN	KAK2563858.1
OG0000892	PSD1_HUMAN, PSD2_HUMAN, PSD3_HUMAN	KAK2566253.1
OG0000907	SLMAP_HUMAN	KAK2571238.1
OG0000920	SEPT1_HUMAN, SEPT5_HUMAN, SEPT7_HUMAN, SEPT2_HUMAN	KAK2574501.1
OG0000947	S6A17_HUMAN, S6A15_HUMAN	KAK2559542.1
OG0000980	KPB1_HUMAN, KPB2_HUMAN	KAK2548634.1
OG0000997	TRIR_HUMAN	KAK2550880.1
OG0001037	FGF18_HUMAN, FGF17_HUMAN, FGF8_HUMAN	KAK2559302.1, KAK2559303.1, KAK2559304.1
OG0001052	TRM9B_HUMAN	KAK2563313.1
OG0001082	SPRC_HUMAN, SPRL1_HUMAN	KAK2570038.1, KAK2570018.1
OG0001095	TSTD1_HUMAN, TSTD3_HUMAN	KAK2573729.1, KAK2573517.1
OG0001140	SP6_HUMAN, SP7_HUMAN, SP9_HUMAN, SP8_HUMAN	KAK2560344.1
OG0001157	VWF_HUMAN, OTOGL_HUMAN, OTOG_HUMAN	KAK2551745.1, KAK2552544.1
OG0001170	NKX63_HUMAN, NKX62_HUMAN, NKX61_HUMAN	KAK2546838.1, KAK2558470.1
OG0000942	ZMYM4_HUMAN, QRIC1_HUMAN, ZMYM3_HUMAN, ZMYM2_HUMAN, ZMYM1_HUMAN	KAK2552821.1, KAK2571046.1
OG0000958	REPS2_HUMAN, REPS1_HUMAN	KAK2566625.1, KAK2570537.1
OG0001009	DX39A_HUMAN, DX39B_HUMAN	KAK2553251.1
OG0001024	ALAT2_HUMAN, ALAT1_HUMAN	KAK2556867.1, KAK2556873.1, KAK2556871.1
OG0001071	APBB1_HUMAN, APBB3_HUMAN, APBB2_HUMAN	KAK2568001.1
OG0001086	CNKR1_HUMAN, CNKR2_HUMAN, CNKR3_HUMAN, CNIPF_HUMAN, ICEF1_HUMAN	KAK2570729.1
OG0001098	ZN774_HUMAN, SALL2_HUMAN, SALL4_HUMAN, SALL1_HUMAN, SALL3_HUMAN	KAK2573813.1
OG0001142	PLCB4_HUMAN	KAK2560514.1
OG0001159	NCALD_HUMAN, HPCA_HUMAN, HPCL1_HUMAN	KAK2553707.1
OG0001183	SNTG1_HUMAN, SNTG2_HUMAN	KAK2548461.1
OG0001195	CYB5B_HUMAN, CYB5_HUMAN	KAK2567600.1, KAK2550492.1
OG0001203	VATH_HUMAN	KAK2551473.1
OG0001034	CPZIP_HUMAN, WAC2A_HUMAN, WAC2C_HUMAN	KAK2573641.1, KAK2559077.1, KAK2562505.1
OG0001049	KS6R_HUMAN	KAK2562254.1
OG0001064	AMPD2_HUMAN, ADA2_HUMAN, AMPD1_HUMAN, AMPD3_HUMAN	KAK2566661.1
OG0001078	ZN425_HUMAN, ZN777_HUMAN, ZN398_HUMAN, ZN282_HUMAN, ZN212_HUMAN, ZN783_HUMAN, ZN767_HUMAN, ZN746_HUMAN	KAK2569240.1
OG0001090	TIAR_HUMAN, TIA1_HUMAN	KAK2572427.1
OG0001144	DOK1_HUMAN, DOK3_HUMAN, DOK2_HUMAN	KAK2554361.1
OG0001149	PLPL2_HUMAN, PLPL3_HUMAN	KAK2569397.1
OG0001164	KCNC2_HUMAN, KCNC4_HUMAN, KCNC3_HUMAN, KCNC1_HUMAN	KAK2569220.1
OG0001175	PJVK_HUMAN, GSDME_HUMAN	KAK2547716.1
OG0001222	M4K3_HUMAN, M4K5_HUMAN	KAK2554242.1
OG0001236	CYH1_HUMAN, CYH2_HUMAN, CYH3_HUMAN, CYH4_HUMAN	KAK2557137.1
OG0001045	PTPRN_HUMAN, PTPR2_HUMAN	KAK2561209.1
OG0001060	PKN2_HUMAN, PKN3_HUMAN, PKN1_HUMAN	KAK2565970.1
OG0001077	ASB3_HUMAN, ASB2_HUMAN, ASB15_HUMAN, ASB14_HUMAN	KAK2569152.1
OG0001091	EGR1_HUMAN, EGR3_HUMAN, EGR2_HUMAN	KAK2572439.1
OG0001141	MYO1B_HUMAN, MYO1A_HUMAN	KAK2562041.1
OG0001158	CISH_HUMAN, SOCS2_HUMAN, SOCS7_HUMAN, SOCS6_HUMAN	KAK2553103.1
OG0001182	SDC1_HUMAN, SDC3_HUMAN, SDC2_HUMAN, SDC4_HUMAN	KAK2548237.1
OG0001194	UBX11_HUMAN	KAK2550263.1
OG0001204	ZMAT3_HUMAN, ZMAT4_HUMAN, ZN346_HUMAN	KAK2551516.1
OG0001215	RIR2B_HUMAN, RIR2_HUMAN	KAK2553695.1
OG0001228	K0825_HUMAN	KAK2555315.1
OG0001244	FMN2_HUMAN, FMN1_HUMAN	KAK2560679.1, KAK2558623.1, KAK2558622.1
OG0000956	GBB3_HUMAN, GBB1_HUMAN, GBB2_HUMAN, GBB4_HUMAN	KAK2556407.1
OG0000972	SSRD_HUMAN	KAK2550914.1, KAK2557839.1, KAK2557894.1, KAK2571120.1, KAK2559090.1, KAK2549308.1, KAK2558108.1, KAK2547221.1
OG0001005	NWD1_HUMAN	KAK2569330.1, KAK2565322.1, KAK2552623.1, KAK2552646.1, KAK2552621.1, KAK2552596.1, KAK2552608.1
OG0001036	HMCN1_HUMAN, HMCN2_HUMAN	KAK2565940.1, KAK2571511.1, KAK2559188.1
OG0001066	BABA2_HUMAN	KAK2567467.1
OG0001094	REEP2_HUMAN, REEP1_HUMAN, REEP3_HUMAN, REEP4_HUMAN	KAK2573163.1
OG0001135	CP2U1_HUMAN, CP2R1_HUMAN, CP2J2_HUMAN	KAK2557762.1
OG0001151	COR1A_HUMAN, CORO6_HUMAN, COR1C_HUMAN, COR1B_HUMAN	KAK2549750.1
OG0001191	EVA1A_HUMAN, EVA1C_HUMAN	KAK2549784.1, KAK2557390.1, KAK2557391.1, KAK2557394.1
OG0001201	SHRM2_HUMAN, SHRM4_HUMAN, SHRM3_HUMAN	KAK2551300.1
OG0001212	ARHG2_HUMAN, AKP13_HUMAN, ARG28_HUMAN, ARHGI_HUMAN	KAK2553205.1
OG0001225	TMC7_HUMAN	KAK2571995.1, KAK2554898.1
OG0001243	MDM4_HUMAN, MDM2_HUMAN	KAK2564882.1, KAK2558460.1
OG0001038	IRX4_HUMAN, IRX6_HUMAN	KAK2559737.1
OG0001053	AN32E_HUMAN, AN32B_HUMAN, AN32C_HUMAN, AN32A_HUMAN, AN32D_HUMAN	KAK2563814.1
OG0001065	PDE8B_HUMAN, PDE8A_HUMAN	KAK2566900.1
OG0001080	MAST3_HUMAN, MAST4_HUMAN, MAST1_HUMAN, MAST2_HUMAN	KAK2569578.1
OG0001133	PSA_HUMAN, PSAL_HUMAN	KAK2547752.1
OG0001138	BHA15_HUMAN	KAK2568027.1, KAK2556991.1, KAK2561526.1
OG0001154	DOCK2_HUMAN, DOCK5_HUMAN, DOCK1_HUMAN	KAK2572538.1
OG0001179	MLF2_HUMAN, MLF1_HUMAN	KAK2547924.1
OG0001202	PHF20_HUMAN, P20L1_HUMAN	KAK2551470.1
OG0001214	SIA7D_HUMAN, SIA7C_HUMAN, SIA7F_HUMAN, SIA7E_HUMAN	KAK2553675.1
OG0001226	ENPP2_HUMAN, ENPP1_HUMAN, ENPP3_HUMAN	KAK2554976.1
OG0001241	DAAF9_HUMAN	KAK2558384.1
OG0000812	TSSK2_HUMAN, TSSK1_HUMAN, TSSK3_HUMAN	KAK2548071.1, KAK2564458.1, KAK2565650.1
OG0000850	MGT5A_HUMAN	KAK2554268.1, KAK2561514.1, KAK2561560.1
OG0000864	SUN3_HUMAN, SPAG4_HUMAN, SUN5_HUMAN, SUN2_HUMAN, SUN1_HUMAN	KAK2557209.1
OG0000882	ABCBB_HUMAN, ABCB5_HUMAN, MDR3_HUMAN, MDR1_HUMAN	KAK2563337.1
OG0000898	RUFY2_HUMAN, RUFY1_HUMAN	KAK2568300.1
OG0000912	TTC14_HUMAN	KAK2572285.1
OG0000938	TBX1_HUMAN, TBX10_HUMAN	KAK2573900.1, KAK2574538.1
OG0000953	FZD2_HUMAN, FZD7_HUMAN, FZD1_HUMAN	KAK2560426.1, KAK2560427.1, KAK2560217.1, KAK2573335.1
OG0001003	NGEF_HUMAN, ARHGQ_HUMAN, ARHGG_HUMAN	KAK2552176.1
OG0001156	MCMD2_HUMAN	KAK2552299.1, KAK2552343.1, KAK2547590.1, KAK2548419.1, KAK2548410.1, KAK2548426.1, KAK2548427.1
OG0001238	CALM1_HUMAN, CALM2_HUMAN, CALM3_HUMAN	KAK2557634.1, KAK2557636.1
OG0001245	PDP1_HUMAN, PDP2_HUMAN	KAK2558657.1, KAK2560672.1
OG0001261	GORS1_HUMAN, GORS2_HUMAN	KAK2561547.1, KAK2561622.1
OG0001002	PO4F3_HUMAN, PO4F2_HUMAN, PO4F1_HUMAN	KAK2552128.1
OG0001008	KIF1C_HUMAN, KIF1A_HUMAN, KIF1B_HUMAN	KAK2553188.1
OG0001023	MCLN1_HUMAN, MCLN3_HUMAN, MCLN2_HUMAN	KAK2556743.1, KAK2556745.1
OG0001028	SL9B1_HUMAN, SL9P1_HUMAN, SL9B2_HUMAN	KAK2572720.1, KAK2557432.1
OG0001043	PYGL_HUMAN, PYGM_HUMAN, PYGB_HUMAN	KAK2560889.1
OG0001058	ELOV4_HUMAN	KAK2565420.1, KAK2565747.1, KAK2565418.1, KAK2565669.1
OG0001073	RGF1C_HUMAN, RGF1B_HUMAN	KAK2568209.1
OG0001129	PGBD4_HUMAN	KAK2551366.1, KAK2552472.1, KAK2551367.1, KAK2555968.1, KAK2554534.1, KAK2562670.1, KAK2559002.1, KAK2549847.1, KAK2559005.1
OG0001136	S39A8_HUMAN, S39AE_HUMAN	KAK2568428.1
OG0001152	TLL1_HUMAN, BMP1_HUMAN, TLL2_HUMAN	KAK2551316.1, KAK2551319.1
OG0001248	CSK22_HUMAN, CSK21_HUMAN, CSK23_HUMAN	KAK2559727.1
OG0001264	LMBL3_HUMAN, LMBL1_HUMAN, LMBL4_HUMAN	KAK2561900.1, KAK2562372.1
OG0001280	GNA15_HUMAN, GNAQ_HUMAN, GNA14_HUMAN, GNA11_HUMAN	KAK2563815.1
OG0001298	SAT2_HUMAN, SAT1_HUMAN, SATL1_HUMAN	KAK2566712.1, KAK2566717.1
OG0001061	CNDD3_HUMAN	KAK2566128.1
OG0001076	NUDC3_HUMAN	KAK2569146.1
OG0001127	JIP3_HUMAN, JIP4_HUMAN	KAK2552044.1, KAK2562700.1, KAK2548029.1, KAK2559285.1
OG0001145	CA2D3_HUMAN, CA2D4_HUMAN	KAK2553320.1
OG0001162	RGPD5_HUMAN, RGPD8_HUMAN, RGPD3_HUMAN, RGPD4_HUMAN, RGPD1_HUMAN, RGPD2_HUMAN, RBP2_HUMAN	KAK2573677.1
OG0001209	AT132_HUMAN, AT133_HUMAN, AT135_HUMAN, AT134_HUMAN	KAK2552730.1
OG0001221	CACB1_HUMAN, CACB2_HUMAN, CACB3_HUMAN, CACB4_HUMAN	KAK2554239.1
OG0001242	FA53C_HUMAN, FA53B_HUMAN, FA53A_HUMAN	KAK2558385.1
OG0001256	S12A4_HUMAN, S12A6_HUMAN, S12A5_HUMAN, S12A7_HUMAN	KAK2560643.1
OG0001270	MOCOS_HUMAN	KAK2562458.1
OG0001285	DLGP4_HUMAN, DLGP1_HUMAN, DLGP3_HUMAN, DLGP2_HUMAN	KAK2564890.1
OG0001301	PCX1_HUMAN, PCX2_HUMAN, PCX3_HUMAN	KAK2567305.1
OG0001163	HS90A_HUMAN, HS90B_HUMAN, H90B3_HUMAN	KAK2567458.1
OG0001176	JUNB_HUMAN, JUN_HUMAN, JUND_HUMAN	KAK2547727.1, KAK2556728.1
OG0001198	OGT1_HUMAN	KAK2551137.1
OG0001210	AGRV1_HUMAN	KAK2552864.1, KAK2552903.1
OG0001223	SIPA1_HUMAN, SI1L3_HUMAN, SI1L1_HUMAN, SI1L2_HUMAN	KAK2554330.1
OG0001237	S72L6_HUMAN, S72L2_HUMAN, S72L4_HUMAN, S72L1_HUMAN, S72L3_HUMAN, S72L5_HUMAN, SSU72_HUMAN	KAK2557318.1
OG0001254	BHMT1_HUMAN, BHMT2_HUMAN	KAK2562923.1, KAK2560387.1
OG0001269	AP2B1_HUMAN, AP1B1_HUMAN	KAK2562276.1
OG0001286	CREM_HUMAN, ATF1_HUMAN, CREB1_HUMAN	KAK2565017.1
OG0001293	HNF6_HUMAN, ONEC3_HUMAN, ONEC2_HUMAN	KAK2566160.1
OG0001308	ACTN4_HUMAN, ACTN1_HUMAN, ACTN3_HUMAN, ACTN2_HUMAN	KAK2568765.1
OG0001324	TRPV3_HUMAN, TRPV6_HUMAN, TRPV5_HUMAN	KAK2571192.1, KAK2572384.1
OG0001131	MK14_HUMAN, MK11_HUMAN, MK13_HUMAN, MK12_HUMAN	KAK2571327.1
OG0001146	KC1AL_HUMAN, KC1A_HUMAN	KAK2572266.1, KAK2551177.1
OG0001189	DUSP2_HUMAN, DUS4_HUMAN, DUS1_HUMAN	KAK2549484.1
OG0001199	TB15A_HUMAN, TB15B_HUMAN, TB15C_HUMAN, TYB4Y_HUMAN, TYB4_HUMAN, TYB10_HUMAN	KAK2551141.1
OG0001208	DIAP1_HUMAN, DIAP3_HUMAN, DIAP2_HUMAN	KAK2552645.1
OG0001220	CELR3_HUMAN, CELR2_HUMAN, CELR1_HUMAN	KAK2553912.1
OG0001235	ELMO2_HUMAN, ELMO1_HUMAN	KAK2556866.1
