Orthogroup	Hsap	Acer
OG0000039	DDX41_HUMAN	KAK2564525.1, KAK2546768.1, KAK2564105.1, KAK2547163.1, KAK2548376.1, KAK2547128.1, KAK2547127.1, KAK2564599.1, KAK2567583.1, KAK2560861.1, KAK2567741.1, KAK2554734.1, KAK2553217.1, KAK2557890.1, KAK2566161.1, KAK2550623.1, KAK2553605.1, KAK2546981.1, KAK2556119.1, KAK2548339.1, KAK2568130.1, KAK2556828.1, KAK2557891.1, KAK2553967.1, KAK2556568.1, KAK2553214.1, KAK2555648.1, KAK2555647.1, KAK2552963.1, KAK2569303.1, KAK2557525.1, KAK2555649.1, KAK2553225.1, KAK2546720.1, KAK2557349.1, KAK2550432.1, KAK2555182.1, KAK2550430.1, KAK2566044.1, KAK2547310.1, KAK2554148.1, KAK2554147.1, KAK2549024.1, KAK2554197.1, KAK2550433.1, KAK2549212.1, KAK2555142.1, KAK2567673.1, KAK2565308.1, KAK2567674.1, KAK2555143.1, KAK2547302.1, KAK2554905.1
OG0000046	MTR1L_HUMAN, MTR1A_HUMAN, MTR1B_HUMAN	KAK2556771.1, KAK2569787.1, KAK2569619.1, KAK2569735.1, KAK2569620.1, KAK2561990.1, KAK2551150.1, KAK2570639.1, KAK2563169.1, KAK2553351.1, KAK2563318.1, KAK2553350.1, KAK2557789.1, KAK2572679.1, KAK2559437.1, KAK2547849.1, KAK2547864.1, KAK2565858.1, KAK2566077.1, KAK2571232.1, KAK2571231.1, KAK2571236.1, KAK2554406.1, KAK2554407.1
OG0000095	GOGA2_HUMAN, GG6L7_HUMAN, GG6L2_HUMAN, GG6LZ_HUMAN, GG6L1_HUMAN, GG6LV_HUMAN, GG6LX_HUMAN, GG6LY_HUMAN, GG6L6_HUMAN, GG6L4_HUMAN, GG6L9_HUMAN, GG6LS_HUMAN, GG6LA_HUMAN, GOG6A_HUMAN, GOG6B_HUMAN, GOG6C_HUMAN, GOG6D_HUMAN, GGA2B_HUMAN, GOG8A_HUMAN, GOG8B_HUMAN, GOG8F_HUMAN, GOG8G_HUMAN, GOG8D_HUMAN, GOG8C_HUMAN, GOG8S_HUMAN, GOG8R_HUMAN, GOG8O_HUMAN, GOG8N_HUMAN, GOG8Q_HUMAN, GOG8M_HUMAN, GOG8I_HUMAN, GOG8J_HUMAN, GOG8K_HUMAN, GOG8T_HUMAN, GOG8H_HUMAN	KAK2567783.1
OG0000063	GRIA1_HUMAN, GRIA2_HUMAN, GRIA4_HUMAN, GRIA3_HUMAN, GRIK5_HUMAN, GRIK4_HUMAN, GRIK2_HUMAN, GRIK3_HUMAN, GRIK1_HUMAN	KAK2560020.1, KAK2552985.1, KAK2553015.1, KAK2553028.1, KAK2553030.1, KAK2560025.1, KAK2552984.1, KAK2559850.1, KAK2559935.1, KAK2559853.1, KAK2559934.1, KAK2559933.1, KAK2559931.1, KAK2559937.1, KAK2559852.1, KAK2574075.1, KAK2574078.1, KAK2566425.1, KAK2566473.1, KAK2566474.1, KAK2559754.1
OG0000082	CRFR1_HUMAN, CRFR2_HUMAN, CALRL_HUMAN, CALCR_HUMAN, PTH1R_HUMAN, PTH2R_HUMAN, GLP2R_HUMAN, GLP1R_HUMAN, GLR_HUMAN, GIPR_HUMAN, SCTR_HUMAN, GHRHR_HUMAN, VIPR1_HUMAN, PACR_HUMAN, VIPR2_HUMAN	KAK2572246.1, KAK2546941.1, KAK2572186.1, KAK2546929.1, KAK2546934.1, KAK2546935.1, KAK2572188.1, KAK2546943.1, KAK2572185.1, KAK2546942.1
OG0000105	MYH16_HUMAN, MYH6_HUMAN, MYH7_HUMAN, MYH13_HUMAN, MYH3_HUMAN, MYH8_HUMAN, MYH2_HUMAN, MYH4_HUMAN, MYH1_HUMAN, MYH15_HUMAN, MYH7B_HUMAN	KAK2571603.1
OG0000008	PRORY_HUMAN	KAK2547887.1, KAK2548209.1, KAK2555924.1, KAK2559450.1, KAK2555950.1, KAK2547904.1, KAK2546823.1, KAK2546667.1, KAK2547893.1, KAK2562278.1, KAK2568583.1, KAK2547534.1, KAK2571050.1, KAK2561828.1, KAK2548454.1, KAK2559291.1, KAK2555948.1, KAK2556365.1, KAK2549259.1, KAK2564037.1, KAK2573229.1, KAK2565976.1, KAK2556974.1, KAK2565834.1, KAK2547888.1, KAK2547903.1, KAK2557039.1, KAK2564085.1, KAK2547889.1, KAK2556280.1, KAK2548184.1, KAK2570152.1, KAK2551829.1, KAK2568590.1, KAK2547546.1, KAK2547537.1, KAK2567788.1, KAK2547540.1, KAK2546963.1, KAK2560668.1, KAK2552058.1, KAK2556475.1, KAK2559449.1, KAK2561655.1, KAK2549911.1, KAK2561660.1, KAK2570151.1, KAK2563844.1, KAK2549306.1, KAK2551634.1, KAK2550867.1, KAK2551127.1, KAK2558576.1, KAK2558580.1, KAK2547385.1, KAK2558581.1, KAK2549912.1, KAK2558530.1, KAK2549594.1, KAK2555536.1, KAK2552776.1, KAK2555738.1, KAK2554080.1, KAK2561770.1, KAK2548185.1, KAK2564297.1, KAK2547547.1, KAK2561769.1, KAK2547165.1, KAK2568043.1, KAK2551370.1, KAK2573322.1, KAK2554918.1, KAK2553495.1, KAK2547696.1, KAK2548103.1, KAK2573598.1, KAK2550846.1, KAK2551369.1, KAK2547124.1, KAK2559398.1, KAK2553048.1, KAK2561690.1, KAK2551541.1, KAK2551538.1, KAK2558807.1, KAK2561698.1, KAK2561691.1, KAK2559399.1, KAK2549291.1, KAK2550667.1, KAK2558646.1, KAK2565702.1, KAK2550845.1, KAK2560811.1, KAK2558604.1, KAK2558603.1, KAK2560809.1, KAK2547469.1, KAK2547384.1, KAK2558677.1, KAK2564600.1, KAK2565831.1, KAK2552782.1, KAK2560995.1, KAK2571015.1
OG0000038	HRH2_HUMAN, ADRB2_HUMAN, ADRB1_HUMAN, ADRB3_HUMAN, DRD1_HUMAN, DRD5_HUMAN	KAK2547743.1, KAK2560741.1, KAK2558445.1, KAK2558443.1, KAK2558409.1, KAK2558448.1, KAK2558449.1, KAK2573252.1, KAK2559973.1, KAK2558343.1, KAK2558508.1, KAK2558473.1, KAK2558477.1, KAK2572270.1, KAK2558472.1, KAK2570591.1, KAK2573658.1, KAK2573798.1
OG0000109	CP3A5_HUMAN, CP343_HUMAN, CP3A4_HUMAN, CP3A7_HUMAN	KAK2565310.1, KAK2565311.1, KAK2572598.1, KAK2564867.1, KAK2550634.1, KAK2550632.1, KAK2550633.1
OG0000120	K1958_HUMAN	KAK2570276.1, KAK2570275.1, KAK2564195.1, KAK2562688.1, KAK2569729.1, KAK2564194.1, KAK2548534.1, KAK2560616.1, KAK2548495.1, KAK2561787.1, KAK2557412.1, KAK2554202.1, KAK2568042.1, KAK2557411.1, KAK2548496.1, KAK2566437.1, KAK2561665.1, KAK2555969.1, KAK2565695.1, KAK2558906.1, KAK2562655.1, KAK2552436.1, KAK2554104.1, KAK2557072.1, KAK2564386.1, KAK2562522.1, KAK2548374.1, KAK2555801.1, KAK2547577.1, KAK2547579.1, KAK2552013.1
